"data_as_of","start_week","end_week","state_name","county_name","county_fips_code","urban_rural_code","total_death","footnote","covid_death","formattedupdatedate"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Aleutians East Borough","2013","Noncore","14","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Anchorage Municipality","2020","Medium metro","4133",,"366",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Bethel Census Area","2050","Noncore","194",,"18",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Denali Borough","2068","Noncore","11","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Dillingham Census Area","2070","Noncore","45","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Fairbanks North Star Borough","2090","Small metro","954",,"85",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Hoonah-Angoon Census Area","2105","Noncore","24","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Juneau City and Borough","2110","Micropolitan","307","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Kenai Peninsula Borough","2122","Noncore","680",,"31",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Ketchikan Gateway Borough","2130","Micropolitan","175",,"10",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Kodiak Island Borough","2150","Noncore","127","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Matanuska-Susitna Borough","2170","Medium metro","1164",,"91",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","North Slope Borough","2185","Noncore","65","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Northwest Arctic Borough","2188","Noncore","76","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Prince of Wales-Hyder Census Area","2198","Noncore","76","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Sitka City and Borough","2220","Noncore","101","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Southeast Fairbanks Census Area","2240","Noncore","61","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Valdez-Cordova Census Area","2261","Noncore","79","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AK","Wade Hampton Census Area","2270","Noncore","77","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Autauga County","1001","Medium metro","956",,"122",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Baldwin County","1003","Small metro","4386",,"473",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Barbour County","1005","Noncore","500",,"58",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Bibb County","1007","Large fringe metro","354",,"38",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Blount County","1009","Large fringe metro","916",,"63",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Bullock County","1011","Noncore","181","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Butler County","1013","Noncore","452",,"55",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Calhoun County","1015","Small metro","3031",,"444",2021-10-20
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","AL","Chambers County","1017","Micropolitan","666",,"42",2021-10-20
