"data_as_of","start_week","end_week","state_name","county_name","county_fips_code","urban_rural_code","total_death","footnote","covid_death","formattedupdatedate","countyformatted"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Alachua County","12001","Medium metro","7634",,"1197",2021-10-20,"Alachua"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Baker County","12003","Large fringe metro","337",,"17",2021-10-20,"Baker"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Bay County","12005","Small metro","4389",,"693",2021-10-20,"Bay"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Bradford County","12007","Noncore","334",,"15",2021-10-20,"Bradford"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Brevard County","12009","Medium metro","15500",,"1644",2021-10-20,"Brevard"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Broward County","12011","Large fringe metro","32724",,"4643",2021-10-20,"Broward"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Calhoun County","12013","Noncore","329",,"24",2021-10-20,"Calhoun"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Charlotte County","12015","Small metro","5891",,"572",2021-10-20,"Charlotte"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Citrus County","12017","Small metro","5646",,"665",2021-10-20,"Citrus"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Clay County","12019","Large fringe metro","4848",,"713",2021-10-20,"Clay"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Collier County","12021","Medium metro","7684",,"914",2021-10-20,"Collier"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Columbia County","12023","Micropolitan","2134",,"313",2021-10-20,"Columbia"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","DeSoto County","12027","Micropolitan","619",,"45",2021-10-20,"DeSoto"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Dixie County","12029","Noncore","217","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20,"Dixie"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Duval County","12031","Large central metro","22011",,"3190",2021-10-20,"Duval"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Escambia County","12033","Medium metro","10107",,"1354",2021-10-20,"Escambia"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Flagler County","12035","Medium metro","2918",,"265",2021-10-20,"Flagler"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Franklin County","12037","Noncore","187","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.",,2021-10-20,"Franklin"
"2021-10-20T00:00:00.000","2020-01-01T00:00:00.000","2021-10-16T00:00:00.000","FL","Gadsden County","12039","Medium metro","591",,"26",2021-10-20,"Gadsden"
